X,Y,FID,data,name,coordinate,total_slot,operative,id
25.079154814243338,60.207097461578655,225,"{""name"":""273 Kauppakartanonkuja"",""coordinates"":""60.207097461138005,25.07915481461614"",""total_slots"":1,""free_slots"":1,""avl_bikes"":0,""operative"":true,""style"":""Station off""}",Kauppakartanonkuja,"60.207097461138005,25.07915481461614",1,Yes,273
25.086782105709688,60.208997599559609,226,"{""name"":""274 Voikukantie"",""coordinates"":""60.20899759942336,25.086782105520793"",""total_slots"":1,""free_slots"":1,""avl_bikes"":0,""operative"":true,""style"":""Station off""}",Voikukantie,"60.20899759942336,25.086782105520793",1,Yes,274
25.07596801531173,60.209600665138623,227,"{""name"":""275 Itäkeskuksen metroasema"",""coordinates"":""60.20960066552812,25.07596801515546"",""total_slots"":1,""free_slots"":1,""avl_bikes"":0,""operative"":true,""style"":""Station off""}",Itäkeskuksen metroasema,"60.20960066552812,25.07596801515546",1,Yes,275
25.082322094289282,60.212494165473402,228,"{""name"":""276 Puotinharju"",""coordinates"":""60.21249416558419,25.08232209439382"",""total_slots"":1,""free_slots"":1,""avl_bikes"":0,""operative"":true,""style"":""Station off""}",Puotinharju,"60.21249416558419,25.08232209439382",1,Yes,276
25.086296157042057,60.203609557035463,229,"{""name"":""277 Marjaniemi"",""coordinates"":""60.20360955659899,25.086296156701028"",""total_slots"":1,""free_slots"":1,""avl_bikes"":0,""operative"":true,""style"":""Station off""}",Marjaniemi,"60.20360955659899,25.086296156701028",1,Yes,277
25.100426060414406,60.209059633895038,230,"{""name"":""278 Puotilantie"",""coordinates"":""60.209059633662385,25.100426060233303"",""total_slots"":1,""free_slots"":1,""avl_bikes"":0,""operative"":true,""style"":""Station off""}",Puotilantie,"60.209059633662385,25.100426060233303",1,Yes,278
25.106198742977654,60.212509908105801,231,"{""name"":""279 Puotinkylän kartano"",""coordinates"":""60.21250990784526,25.10619874297898"",""total_slots"":1,""free_slots"":1,""avl_bikes"":0,""operative"":true,""style"":""Station off""}",Puotinkylän kartano,"60.21250990784526,25.10619874297898",1,Yes,279
25.095559513161049,60.212700571574146,232,"{""name"":""280 Puotilan ostoskeskus"",""coordinates"":""60.21270057142605,25.095559512793297"",""total_slots"":1,""free_slots"":1,""avl_bikes"":0,""operative"":true,""style"":""Station off""}",Puotilan ostoskeskus,"60.21270057142605,25.095559512793297",1,Yes,280
25.091124528074545,60.214820713405231,233,"{""name"":""281 Puotilan metroasema"",""coordinates"":""60.21482071331432,25.09112452769074"",""total_slots"":1,""free_slots"":1,""avl_bikes"":0,""operative"":true,""style"":""Station off""}",Puotilan metroasema,"60.21482071331432,25.09112452769074",1,Yes,281
25.102324850311618,60.218601478575408,234,"{""name"":""282 Karhulantie"",""coordinates"":""60.218601478441435,25.10232484990167"",""total_slots"":1,""free_slots"":1,""avl_bikes"":0,""operative"":true,""style"":""Station off""}",Karhulantie,"60.218601478441435,25.10232484990167",1,Yes,282
25.077470243756807,60.219850966049307,235,"{""name"":""283 Alakiventie"",""coordinates"":""60.21985096601641,25.077470244052627"",""total_slots"":1,""free_slots"":1,""avl_bikes"":0,""operative"":true,""style"":""Station off""}",Alakiventie,"60.21985096601641,25.077470244052627",1,Yes,283
25.07539579198226,60.224086468016139,236,"{""name"":""284 Myllypuron metroasema"",""coordinates"":""60.22408646778726,25.075395792228694"",""total_slots"":1,""free_slots"":1,""avl_bikes"":0,""operative"":true,""style"":""Station off""}",Myllypuron metroasema,"60.22408646778726,25.075395792228694",1,Yes,284
25.06542183834722,60.223565196676532,237,"{""name"":""285 Orpaanporras"",""coordinates"":""60.22356519670723,25.0654218381558"",""total_slots"":1,""free_slots"":1,""avl_bikes"":0,""operative"":true,""style"":""Station off""}",Orpaanporras,"60.22356519670723,25.0654218381558",1,Yes,285
25.059103876143013,60.218251969652727,238,"{""name"":""286 Mamsellimyllynkatu"",""coordinates"":""60.21825196984328,25.05910387617357"",""total_slots"":1,""free_slots"":1,""avl_bikes"":0,""operative"":true,""style"":""Station off""}",Mamsellimyllynkatu,"60.21825196984328,25.05910387617357",1,Yes,286
24.840319000421573,60.165819999693269,239,"{""name"":""501 Hanasaari"",""coordinates"":""60.165820, 24.840319"",""total_slots"":10,""free_slots"":8,""avl_bikes"":2,""operative"":true,""style"":""Station on""}",Hanasaari,"60.165820, 24.840319",10,Yes,501
24.827467000401782,60.171524000132536,240,"{""name"":""503 Keilalahti"",""coordinates"":""60.171524, 24.827467"",""total_slots"":28,""free_slots"":22,""avl_bikes"":6,""operative"":true,""style"":""Station on""}",Keilalahti,"60.171524, 24.827467",28,Yes,503
24.805758000231549,60.168266000075903,241,"{""name"":""505 Westendinasema"",""coordinates"":""60.168266, 24.805758"",""total_slots"":16,""free_slots"":2,""avl_bikes"":14,""operative"":true,""style"":""Station on""}",Westendinasema,"60.168266, 24.805758",16,Yes,505
24.796135999876526,60.16814299979967,242,"{""name"":""507 Golfpolku"",""coordinates"":""60.168143, 24.796136"",""total_slots"":16,""free_slots"":4,""avl_bikes"":12,""operative"":true,""style"":""Station on""}",Golfpolku,"60.168143, 24.796136",16,Yes,507
24.802937999688993,60.17155099957904,243,"{""name"":""509 Revontulentie"",""coordinates"":""60.171551, 24.802938"",""total_slots"":30,""free_slots"":17,""avl_bikes"":13,""operative"":true,""style"":""Station on""}",Revontulentie,"60.171551, 24.802938",30,Yes,509
24.810688000051186,60.173423999617967,244,"{""name"":""511 Sateentie"",""coordinates"":""60.173424, 24.810688"",""total_slots"":18,""free_slots"":13,""avl_bikes"":5,""operative"":true,""style"":""Station on""}",Sateentie,"60.173424, 24.810688",18,Yes,511
24.791390000448189,60.173566999917171,245,"{""name"":""513 Hakalehto"",""coordinates"":""60.173567, 24.791390"",""total_slots"":24,""free_slots"":11,""avl_bikes"":13,""operative"":true,""style"":""Station on""}",Hakalehto,"60.173567, 24.791390",24,Yes,513
24.792559000397603,60.175768999839534,246,"{""name"":""515 Oravannahkatori"",""coordinates"":""60.175769, 24.792559"",""total_slots"":16,""free_slots"":7,""avl_bikes"":9,""operative"":true,""style"":""Station on""}",Oravannahkatori,"60.175769, 24.792559",16,Yes,515
24.802049000061345,60.175357999771904,247,"{""name"":""517 Länsituuli"",""coordinates"":""60.175358, 24.802049"",""total_slots"":24,""free_slots"":20,""avl_bikes"":4,""operative"":true,""style"":""Station on""}",Länsituuli,"60.175358, 24.802049",24,Yes,517
24.80605100025349,60.174144000445324,248,"{""name"":""518 Tuulimäki"",""coordinates"":""60.174144, 24.806051"",""total_slots"":5,""free_slots"":5,""avl_bikes"":0,""operative"":true,""style"":""Station on""}",Tuulimäki,"60.174144, 24.806051",5,Yes,518
24.805824999723995,60.176168000253085,249,"{""name"":""519 Tapionaukio"",""coordinates"":""60.176168, 24.805825"",""total_slots"":26,""free_slots"":19,""avl_bikes"":8,""operative"":true,""style"":""Station on""}",Tapionaukio,"60.176168, 24.805825",26,Yes,519
24.803942000123243,60.177588000086189,250,"{""name"":""521 Kulttuuriaukio"",""coordinates"":""60.177588, 24.803942"",""total_slots"":30,""free_slots"":24,""avl_bikes"":6,""operative"":true,""style"":""Station on""}",Kulttuuriaukio,"60.177588, 24.803942",30,Yes,521
24.797983999661881,60.17874999971275,251,"{""name"":""523 Ahertajantie"",""coordinates"":""60.178750, 24.797984"",""total_slots"":20,""free_slots"":19,""avl_bikes"":1,""operative"":true,""style"":""Station on""}",Ahertajantie,"60.178750, 24.797984",20,Yes,523
24.810973999750331,60.178702000197234,252,"{""name"":""525 Mäntyviita"",""coordinates"":""60.178702, 24.810974"",""total_slots"":10,""free_slots"":9,""avl_bikes"":1,""operative"":true,""style"":""Station on""}",Mäntyviita,"60.178702, 24.810974",10,Yes,525
24.817423000371207,60.178654999828439,253,"{""name"":""527 Otsolahti"",""coordinates"":""60.178655, 24.817423"",""total_slots"":18,""free_slots"":16,""avl_bikes"":2,""operative"":true,""style"":""Station on""}",Otsolahti,"60.178655, 24.817423",18,Yes,527
24.828950000442205,60.175233000302796,254,"{""name"":""529 Keilaniemi (M)"",""coordinates"":""60.175233, 24.828950"",""total_slots"":40,""free_slots"":31,""avl_bikes"":10,""operative"":true,""style"":""Station on""}",Keilaniemi (M),"60.175233, 24.828950",40,Yes,529
24.83513200044149,60.178762000266147,255,"{""name"":""531 Keilaranta"",""coordinates"":""60.178762, 24.835132"",""total_slots"":24,""free_slots"":21,""avl_bikes"":3,""operative"":true,""style"":""Station on""}",Keilaranta,"60.178762, 24.835132",24,Yes,531
24.831803999854742,60.180027000145969,256,"{""name"":""532 Betonimies"",""coordinates"":""60.180027, 24.831804"",""total_slots"":16,""free_slots"":4,""avl_bikes"":12,""operative"":true,""style"":""Station on""}",Betonimies,"60.180027, 24.831804",16,Yes,532
