Area,0-2 years,3-6 years,7-12 years,13-15 years,16-17 years,18-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,50-54 years,55-59 years,60-64 years,65-69 years,70-74 years,75-79 years,80-84 years,85 years or over
Tampere,0.02783977,0.03871807,0.05378785,0.024098895,0.01660014,0.022079673,0.09823201,0.1005233,0.083328016,0.071153164,0.05864674,0.049889687,0.056155656,0.056155656,0.053592306,0.053843115,0.052291498,0.03329805,0.024944844,0.024821565
Urjala,0.021911519,0.034849748,0.057595994,0.028380634,0.019198664,0.02003339,0.027754592,0.030467445,0.0475793,0.047370616,0.06051753,0.0586394,0.06573456,0.08013356,0.08242905,0.08639399,0.08472454,0.054048415,0.045075126,0.047161937
Valkeakoski,0.024128307,0.042579364,0.07181719,0.03434735,0.021478923,0.022235889,0.04551261,0.042532053,0.052987654,0.059043385,0.06656574,0.062402423,0.063869044,0.061598144,0.06448408,0.07801486,0.07555471,0.04362019,0.033069972,0.03415811
Vesilahti,0.029820168,0.051217847,0.094696105,0.052128386,0.031868882,0.023446392,0.02708855,0.027316185,0.04848623,0.061916687,0.07807876,0.0796722,0.07739586,0.07147735,0.06168905,0.059640337,0.045754608,0.030275438,0.021397678,0.02663328
Virrat,0.018400356,0.030271554,0.05505268,0.029974774,0.020032646,0.018400356,0.031161893,0.03279418,0.04080724,0.038433,0.04807835,0.05386556,0.068110995,0.07760795,0.08398872,0.09452441,0.09496958,0.056684967,0.05193649,0.05490429
Ylojarvi,0.03477549,0.059636783,0.0920171,0.04332535,0.027074553,0.020677319,0.03416912,0.048115697,0.059363917,0.0713701,0.074007824,0.0635782,0.06964194,0.06621593,0.060212836,0.055149622,0.050632145,0.03116757,0.021162417,0.01770609
MK07 Paijat-Hame,0.024278644,0.038563717,0.062623054,0.032104034,0.020879334,0.021791466,0.050835125,0.054618225,0.054015122,0.05714528,0.05865553,0.057259917,0.06857433,0.06893819,0.07074252,0.0778053,0.07290073,0.045566693,0.03337005,0.029332748
Asikkala,0.01987974,0.034728188,0.06258436,0.032151185,0.021597741,0.02012517,0.02540189,0.03006504,0.037673336,0.053994354,0.055221498,0.057062216,0.068842806,0.07326052,0.085041106,0.10013498,0.09044054,0.054607928,0.042213768,0.034973618
Hartola,0.01438849,0.025179856,0.039568346,0.024820143,0.015827337,0.020143885,0.02733813,0.02589928,0.033093527,0.02877698,0.03884892,0.05323741,0.08417266,0.092446044,0.10143885,0.10683453,0.102517985,0.06366906,0.048920862,0.052877698
Hollola,0.02504025,0.046818066,0.07846793,0.043809846,0.025591051,0.020633845,0.028980594,0.037242606,0.0484281,0.060037285,0.06575714,0.065418184,0.073764935,0.06957038,0.072578594,0.0736802,0.06808745,0.04177612,0.02995509,0.024362342
Heinola,0.01778813,0.028270422,0.05018794,0.030229233,0.01889989,0.01837048,0.039970353,0.03621155,0.038646832,0.043570332,0.050029118,0.056011435,0.07295251,0.083540685,0.08729949,0.09603473,0.09026417,0.059717298,0.04341151,0.038593892
Karkola,0.020894181,0.035722308,0.065603234,0.03212761,0.021343518,0.018422827,0.03886767,0.04044035,0.039317008,0.05347113,0.062233206,0.06178387,0.08200404,0.08649742,0.07683667,0.083801396,0.07953269,0.043136373,0.030330263,0.027634239
Lahti,0.026119,0.039082624,0.061625164,0.029545398,0.020316629,0.023659661,0.062842324,0.06701903,0.061750215,0.06109995,0.059149154,0.055439305,0.06509325,0.06355929,0.06465974,0.0720711,0.06773599,0.04255071,0.030337388,0.02634409
Orimattila,0.025915109,0.04598844,0.07314648,0.039463054,0.022372754,0.018457523,0.034988504,0.043005407,0.048039276,0.05767199,0.067242555,0.06388664,0.073395066,0.07383009,0.067118265,0.07563234,0.06960413,0.03896588,0.03163259,0.0296439
Padasjoki,0.015524806,0.022612218,0.04893689,0.028349645,0.017212285,0.014849815,0.034087073,0.022949712,0.032399595,0.036449544,0.041511983,0.045899425,0.06547418,0.08504894,0.09854877,0.106986165,0.10057374,0.070199125,0.053999323,0.05838677
Sysma,0.014122035,0.024247268,0.036770582,0.026378896,0.017319478,0.015187849,0.027178258,0.026378896,0.030375699,0.027178258,0.036237676,0.049027443,0.07887024,0.082067676,0.102851056,0.10444977,0.10524914,0.07327472,0.06528111,0.05755396
MK08 Kymenlaakso,0.021529749,0.035827164,0.05836621,0.030792212,0.020364732,0.020728078,0.045331858,0.04908644,0.051018525,0.055378687,0.0572877,0.05771449,0.070668094,0.074889846,0.07698918,0.07986712,0.07543775,0.047915656,0.035042793,0.035763722
Hamina,0.01863354,0.034457263,0.05890762,0.030710835,0.02144336,0.019520853,0.036823425,0.04145716,0.04648526,0.054964013,0.05984423,0.058266785,0.07325249,0.07956226,0.07660455,0.081189,0.07906931,0.05397811,0.03716849,0.03766144
Iitti,0.023798965,0.040206946,0.059127863,0.032224685,0.018329637,0.019512195,0.032076865,0.036954913,0.04715447,0.04907613,0.053510718,0.049815226,0.07228381,0.079970434,0.08765706,0.08943089,0.07538803,0.05306726,0.038285293,0.042128604
Kotka,0.022426866,0.03541781,0.05812832,0.029896187,0.0205359,0.02163266,0.055008225,0.053230718,0.053930376,0.057315204,0.05831742,0.059451997,0.068150446,0.07004141,0.073464066,0.075563036,0.0762816,0.044721365,0.03248681,0.033999585
Kouvola,0.021784868,0.03601957,0.057636127,0.030873919,0.020318117,0.02113565,0.044531543,0.051648892,0.05205766,0.054341946,0.05559229,0.05651803,0.07065655,0.07601861,0.07782199,0.08100797,0.07322938,0.04768145,0.03563485,0.03549058
Miehikkala,0.013402062,0.02113402,0.049484536,0.02886598,0.022680413,0.018041236,0.035051547,0.029381443,0.024742268,0.040206186,0.052061856,0.070618555,0.08402062,0.065979384,0.07938144,0.10412371,0.09123711,0.066494845,0.053092785,0.05
Pyhtaa,0.023713129,0.04607673,0.073067285,0.0335454,0.020242915,0.01696549,0.025255445,0.030267978,0.045305572,0.067669176,0.07056102,0.060921535,0.07788703,0.07711586,0.07576634,0.072874494,0.077308655,0.043184884,0.030267978,0.032003086
Virolahti,0.014920635,0.029206349,0.057777777,0.037777778,0.014920635,0.013015873,0.026666667,0.03015873,0.037777778,0.055555556,0.057777777,0.06031746,0.073015876,0.08730159,0.09428571,0.08952381,0.08349206,0.053968254,0.038412698,0.044126984
MK09 South Karelia,0.021754326,0.035462424,0.05885551,0.02895399,0.019820435,0.0202942,0.056929387,0.05256454,0.05201311,0.05505763,0.056952685,0.056424554,0.06810556,0.07302961,0.07608966,0.07803132,0.06921619,0.04802883,0.03676722,0.035648823
Imatra,0.020347541,0.03156097,0.054284867,0.029221743,0.019159364,0.019233625,0.044927966,0.047081538,0.047118668,0.052242685,0.056846872,0.058109313,0.06898856,0.07971929,0.075560674,0.082764,0.07652607,0.054433387,0.044890836,0.03698203
Lappeenranta,0.023686709,0.03814358,0.060647327,0.028624877,0.020454202,0.022256153,0.07405879,0.063027,0.059794497,0.06089492,0.058639046,0.055777933,0.06536541,0.06515908,0.07037236,0.06949201,0.06081239,0.04206385,0.029780326,0.030949531
Lemi,0.027604338,0.049622085,0.07886954,0.033848178,0.022674993,0.019717384,0.026947092,0.04140651,0.04140651,0.05882353,0.061123893,0.060466643,0.07328294,0.0768978,0.075254686,0.07656918,0.062438384,0.046664476,0.032533683,0.033848178
Luumaki,0.01866152,0.028099528,0.058558557,0.02917203,0.020806521,0.017160017,0.027241528,0.02960103,0.041613042,0.03946804,0.04890605,0.056628056,0.07378808,0.08429858,0.09180609,0.0990991,0.08301158,0.055126555,0.04890605,0.04804805
Parikkala,0.01858736,0.028087568,0.042544402,0.020859148,0.015489467,0.013011153,0.02354399,0.030978935,0.034283355,0.035935562,0.04006609,0.0503924,0.07290376,0.09252375,0.09706733,0.11007848,0.10181743,0.06836018,0.053283766,0.050185874
Rautjarvi,0.013493253,0.023088455,0.04467766,0.022488756,0.013493253,0.017991005,0.027286356,0.025187407,0.029985007,0.03808096,0.044977512,0.055772115,0.06866567,0.09865067,0.105847076,0.11124438,0.09265368,0.060569715,0.052473765,0.053373314
Ruokolahti,0.015885469,0.028436948,0.0627574,0.031770937,0.016473819,0.013139831,0.023730144,0.028633066,0.03647774,0.04216513,0.0580506,0.05981565,0.07746617,0.08197686,0.08962542,0.094332226,0.083349675,0.054912727,0.04844087,0.052559324
Savitaipale,0.011373579,0.031787694,0.050452027,0.02741324,0.017206183,0.016331293,0.027996501,0.032079324,0.035287257,0.038203556,0.045494314,0.050160397,0.06824147,0.08836395,0.08311461,0.093030035,0.09040537,0.070574515,0.060950715,0.061533976
Taipalsaari,0.022269353,0.04114528,0.07338282,0.040084835,0.02545069,0.019300107,0.022269353,0.034782607,0.039872747,0.051961824,0.06977731,0.06150583,0.080805935,0.0835631,0.089925766,0.07783669,0.06702015,0.04369035,0.030540828,0.024814421
MK10 South Savo,0.020537289,0.032486256,0.05527089,0.029568164,0.019928776,0.020274522,0.045742143,0.044919267,0.047740553,0.047519274,0.049815025,0.052235246,0.06862359,0.078470424,0.08601459,0.088483214,0.07923106,0.052781522,0.04173841,0.038619783
Enonkoski,0.015658364,0.034163702,0.05053381,0.02846975,0.014234875,0.012811388,0.02633452,0.035587188,0.038434163,0.05053381,0.04483986,0.046263345,0.06690391,0.076868325,0.079715304,0.11103203,0.098932385,0.059074733,0.059074733,0.05053381
Heinavesi,0.011414839,0.024331631,0.050465606,0.030940222,0.01772304,0.012616402,0.020426555,0.027635926,0.025533194,0.039651547,0.043256234,0.051066387,0.07179333,0.09432262,0.10153199,0.10093121,0.09972965,0.06788825,0.054971464,0.0537699
Hirvensalmi,0.019981412,0.02648699,0.046003718,0.020446097,0.016728625,0.02184015,0.027881041,0.022769516,0.038568772,0.032063197,0.040892195,0.056226768,0.07016729,0.09618959,0.109200746,0.10780669,0.08921933,0.059479553,0.046468403,0.051579926
Joroinen,0.023690773,0.033665836,0.06192851,0.034912717,0.019534497,0.01475478,0.024937656,0.039068993,0.044679966,0.049667496,0.05091438,0.061512884,0.07003325,0.08624273,0.092684954,0.090606816,0.08229426,0.049459685,0.037614297,0.031795513
Juva,0.019598393,0.029718876,0.05188755,0.028915662,0.021044176,0.016706828,0.032128513,0.032289155,0.040803213,0.04385542,0.044819277,0.04819277,0.06939759,0.08626506,0.09317269,0.09815261,0.083373494,0.06313253,0.050281126,0.046265062
Kangasniemi,0.016140865,0.031548057,0.05465884,0.027696257,0.01540719,0.016140865,0.029713867,0.033198826,0.038151138,0.04090242,0.04310345,0.045121055,0.07721937,0.084556125,0.08382245,0.10344828,0.09611152,0.06309611,0.05172414,0.04823918
Mikkeli,0.024044,0.037087962,0.060295813,0.03069605,0.02029061,0.022353116,0.063547514,0.056412354,0.05669107,0.054052547,0.055111673,0.0536066,0.065647185,0.06971645,0.07387863,0.077056006,0.068192795,0.045728195,0.03392917,0.03166227
Mantyharju,0.018906144,0.0312289,0.050810263,0.030384876,0.018906144,0.016205266,0.03359217,0.029372046,0.03612424,0.040006753,0.04338285,0.0486158,0.06802836,0.08490884,0.09503714,0.10820392,0.08946658,0.062288992,0.050979067,0.043551654
Pertunmaa,0.014010508,0.021599533,0.05429072,0.033858728,0.014594279,0.014594279,0.023934618,0.026269702,0.026853474,0.043782838,0.047869235,0.062463515,0.07530648,0.087565675,0.0951547,0.10449504,0.08814944,0.06538237,0.04962055,0.05020432
Pieksamaki,0.019405564,0.030502426,0.052696146,0.02682206,0.020297775,0.021189986,0.03669213,0.043885574,0.04884849,0.044220153,0.047844756,0.047287125,0.0718229,0.0843696,0.09708359,0.09022473,0.077678025,0.054647855,0.044443205,0.04003792
Puumala,0.008648156,0.016385982,0.034592625,0.0295858,0.01411015,0.010923987,0.031406462,0.032316796,0.028675467,0.033682294,0.036868457,0.04733728,0.066909425,0.0860264,0.1156122,0.12016386,0.119708695,0.059626766,0.05416477,0.053254437
Rantasalmi,0.01992032,0.031587932,0.047524188,0.027319293,0.0213432,0.015082527,0.027034719,0.040694367,0.033010814,0.03955606,0.04325555,0.054069437,0.073136024,0.091918044,0.0996016,0.10017075,0.089356855,0.053500284,0.044393852,0.047524188
Savonlinna,0.019219898,0.030555474,0.054178692,0.029305883,0.021213293,0.022016602,0.041712534,0.041296005,0.046383623,0.04647288,0.04947785,0.053702656,0.069084525,0.07845646,0.08842343,0.08892922,0.08285978,0.05373241,0.043467913,0.039510876
Sulkava,0.011857707,0.021343874,0.034782607,0.028853755,0.018181818,0.016205534,0.033201583,0.03596838,0.031620555,0.030039527,0.03596838,0.05098814,0.06758893,0.0944664,0.09960474,0.10711463,0.09881423,0.0687747,0.058498025,0.056126483
MK11 North Savo,0.025097515,0.039726876,0.062128972,0.031331178,0.0212824,0.02170585,0.057442527,0.058802452,0.05776826,0.057593178,0.05351748,0.053004455,0.066204675,0.07328116,0.075793356,0.0754717,0.06416071,0.041705687,0.03270739,0.031274177
Iisalmi,0.02635991,0.04061103,0.06548063,0.031389717,0.021097243,0.02328614,0.049366616,0.048761178,0.055933308,0.058168776,0.052580103,0.04918033,0.0638506,0.07451565,0.08504099,0.08075634,0.06683122,0.040890463,0.03264717,0.033252608
Kaavi,0.014715719,0.03244147,0.051505018,0.03444816,0.019063545,0.01605351,0.03210702,0.029431438,0.038795985,0.040468227,0.039799333,0.06020067,0.074916385,0.08428094,0.09498328,0.0909699,0.08829431,0.068227425,0.04682274,0.042474918
Keitele,0.023172906,0.028074866,0.045454547,0.028520498,0.016488414,0.020053476,0.027183602,0.034313727,0.035650622,0.048573975,0.042335115,0.045454547,0.063725494,0.07976827,0.12032086,0.10918003,0.08957219,0.04946524,0.04812834,0.04456328
Kiuruvesi,0.02551208,0.037532195,0.06022323,0.032258064,0.020851221,0.01999264,0.04023059,0.043051638,0.04427818,0.04746719,0.046608612,0.050042927,0.06819575,0.08009322,0.08916963,0.0838955,0.07543235,0.047712497,0.041579787,0.045872685
Kuopio,0.026941616,0.04139419,0.059824377,0.030152364,0.020477988,0.02331794,0.078886606,0.07742028,0.067990296,0.061341267,0.05575406,0.052189376,0.0633048,0.067172855,0.06543686,0.06485539,0.05614171,0.035267647,0.026503405,0.02562698
Lapinlahti,0.021316418,0.038369555,0.071228035,0.035146095,0.023292087,0.021108454,0.033586357,0.04096912,0.051575337,0.05750234,0.05095144,0.05427888,0.068940416,0.077986896,0.08526567,0.089320995,0.06592493,0.042424873,0.036913797,0.033898305
Leppavirta,0.020518135,0.033471502,0.06176166,0.030051814,0.022279793,0.018445596,0.02880829,0.035233162,0.041450776,0.0519171,0.052331608,0.05533679,0.07512953,0.0880829,0.08787565,0.084974095,0.0761658,0.05150259,0.045803107,0.038860105
Pielavesi,0.01956425,0.03245887,0.06803024,0.035349045,0.017563362,0.015562472,0.031124944,0.027567808,0.037127614,0.041796353,0.035571367,0.045798134,0.06247221,0.080035575,0.09848822,0.10404624,0.084926635,0.06291685,0.049132947,0.050466873
Rautalampi,0.017834794,0.030976221,0.060387984,0.034105133,0.02221527,0.023153942,0.02503129,0.031602003,0.03629537,0.05100125,0.04255319,0.051939923,0.07571965,0.07697121,0.07884856,0.10450563,0.08979975,0.05663329,0.047559448,0.04286608
Rautavaara,0.011508177,0.023622047,0.04845548,0.023622047,0.018170806,0.013930951,0.023622047,0.029073289,0.038764384,0.029073289,0.03270745,0.047244094,0.08237432,0.09569958,0.09085403,0.12113871,0.08903695,0.064203516,0.069654755,0.047244094
Siilinjarvi,0.032158345,0.054766078,0.08646304,0.040186398,0.028236596,0.022238627,0.03631079,0.04438498,0.05965673,0.06920735,0.062978685,0.06104088,0.07063763,0.06902279,0.06510104,0.06274799,0.05365876,0.036679894,0.025329888,0.019193504
Sonkajarvi,0.020922612,0.028737081,0.05873456,0.026972523,0.02142677,0.013360222,0.032518275,0.033526596,0.041341063,0.04360978,0.04613058,0.047643054,0.07234686,0.090748675,0.10461306,0.09251323,0.08419461,0.048903454,0.048147213,0.04360978
Suonenjoki,0.022673199,0.03736879,0.057522744,0.031490553,0.019034289,0.019174248,0.032610215,0.03890833,0.046186145,0.05276417,0.057942618,0.05276417,0.06424073,0.08103569,0.078656405,0.090692796,0.075717285,0.057382785,0.040447865,0.043386985
Tervo,0.0185067,0.026164645,0.03573708,0.025526484,0.022973835,0.007657945,0.028717294,0.025526484,0.044033185,0.0421187,0.038289726,0.044033185,0.061901722,0.097000636,0.11486918,0.11869815,0.082961075,0.054243777,0.053605616,0.05743459
Tuusniemi,0.014896119,0.025872206,0.04508036,0.027048217,0.01881615,0.012152097,0.025480203,0.025872206,0.035280284,0.047040377,0.033320267,0.05252842,0.07369659,0.101528816,0.11681694,0.11368091,0.082712665,0.05997648,0.047432378,0.040768325
Varkaus,0.019011954,0.0312545,0.053771183,0.028613951,0.020068174,0.021460464,0.041720677,0.048394065,0.044793315,0.049978394,0.051898796,0.054827403,0.06851025,0.080224685,0.09035479,0.08872245,0.075135626,0.051610734,0.039512217,0.04013635
Vesanto,0.012633625,0.023809524,0.049076773,0.02186589,0.01797862,0.013605442,0.030126337,0.020408163,0.033041786,0.0393586,0.0335277,0.058309037,0.07385811,0.08260447,0.088435374,0.11613217,0.10155491,0.06268222,0.062196307,0.058794945
Vierema,0.026931448,0.04243743,0.06447225,0.034004353,0.0242111,0.019042438,0.04134929,0.04243743,0.04678999,0.051414583,0.05522307,0.059575625,0.07236126,0.079434164,0.08161045,0.07780196,0.066104464,0.043525573,0.035364527,0.035908595
MK12 North Karelia,0.023859713,0.037875988,0.05973866,0.029444033,0.020106016,0.021517504,0.06203772,0.059498273,0.055559665,0.055004932,0.051516272,0.04901997,0.062006902,0.07533284,0.0818109,0.08033161,0.067147434,0.043306213,0.033450443,0.031434912
Ilomantsi,0.014880354,0.023527047,0.042228032,0.024331389,0.01407601,0.011059723,0.021516187,0.02915745,0.033782426,0.03901066,0.03599437,0.041021515,0.06857028,0.09571687,0.12246129,0.11039614,0.099939674,0.060526844,0.057108384,0.054695357
Joensuu,0.025225013,0.03758279,0.05706,0.028151168,0.019869108,0.025055192,0.097660385,0.08284673,0.066217296,0.058797404,0.051482018,0.046230618,0.056655042,0.06540737,0.067575864,0.06721009,0.056655042,0.03669449,0.027471881,0.026152499
Juuka,0.01528987,0.021873008,0.048417922,0.03164154,0.014228074,0.012741558,0.02484604,0.025695477,0.035464004,0.041834783,0.039498832,0.04565725,0.07793587,0.100445956,0.11148864,0.10235719,0.09258866,0.062008917,0.051815674,0.044170737
Kitee,0.018343309,0.02973547,0.050782003,0.02664607,0.018826028,0.019694922,0.025777178,0.032921415,0.03697625,0.041224174,0.04054837,0.049526937,0.07115273,0.08910987,0.10919096,0.10146747,0.08621355,0.05869859,0.048754584,0.044410117
Kontiolahti,0.033402923,0.059465285,0.09394572,0.043841336,0.028486766,0.02357061,0.033739645,0.044110715,0.06101421,0.07562799,0.076436125,0.064044714,0.06485285,0.06747929,0.06458347,0.06188969,0.045457605,0.026533773,0.016230049,0.015287225
Outokumpu,0.021608114,0.038365427,0.064236365,0.027487872,0.019844186,0.022343084,0.03998236,0.04689108,0.050859913,0.049389973,0.04615611,0.0439512,0.05997354,0.071586065,0.093488164,0.09613406,0.08011171,0.051594883,0.03968837,0.03630751
Lieksa,0.01666967,0.028023068,0.045233376,0.02207605,0.015408182,0.014597225,0.031717427,0.035682105,0.036673274,0.03946657,0.040277526,0.04829699,0.06370517,0.09100739,0.11326365,0.10857812,0.09614345,0.06109209,0.047666248,0.044422418
Liperi,0.029971182,0.05121449,0.079538904,0.034911487,0.022560725,0.019761218,0.034005765,0.049073692,0.057883903,0.06397694,0.06364759,0.057307534,0.0713874,0.08011527,0.072293125,0.07130507,0.057883903,0.034829147,0.025607245,0.022725401
Nurmes,0.019215045,0.03137776,0.050490595,0.029231397,0.019317253,0.016864268,0.029946852,0.039656583,0.043233853,0.04415372,0.043438267,0.044255927,0.060711365,0.08677433,0.100163534,0.101798855,0.08595666,0.056316435,0.04803761,0.04905969
Polvijarvi,0.025075458,0.032273043,0.056419782,0.026004178,0.020431856,0.015556072,0.02553982,0.03970281,0.044578593,0.049222197,0.044346415,0.050847456,0.06477827,0.09078245,0.101927094,0.105641976,0.0761551,0.05363362,0.04156025,0.035523567
Raakkyla,0.011462632,0.02521779,0.037138928,0.026593305,0.015130675,0.013755159,0.019715726,0.029802842,0.031178359,0.029802842,0.048143055,0.04722604,0.071526825,0.09674461,0.11095828,0.121962406,0.10087116,0.06281522,0.049060065,0.050894085
Tohmajarvi,0.020303436,0.036144577,0.053993754,0.025211958,0.02141901,0.019634092,0.025435073,0.025435073,0.04060687,0.04953146,0.053993754,0.054663096,0.06782686,0.093708165,0.09906292,0.099286035,0.07853637,0.056001786,0.0410531,0.03815261
MK13 Central Finland,0.026444444,0.04283158,0.0689893,0.03256376,0.02103288,0.022350384,0.06680798,0.064045936,0.059316713,0.060053498,0.058423858,0.053357095,0.060739473,0.06768268,0.06740321,0.06862998,0.061570626,0.03984814,0.029765427,0.028143045
Hankasalmi,0.018829722,0.039886616,0.070459604,0.031990282,0.018222312,0.019639604,0.03097793,0.03239522,0.046568133,0.04758048,0.051022474,0.052844707,0.06762502,0.07693865,0.09455355,0.082202874,0.07977323,0.050820004,0.04292367,0.0447459
Joutsa,0.010297739,0.028430713,0.051040966,0.02708753,0.015670473,0.012312514,0.027311394,0.027535258,0.036937542,0.036937542,0.04499664,0.051488694,0.07521827,0.089321695,0.08685919,0.103425115,0.1023058,0.07118872,0.051488694,0.05014551
Jyvaskyla,0.0284491,0.042503804,0.06565231,0.029843247,0.019737447,0.024790347,0.09874385,0.09057004,0.07290612,0.067145534,0.060372952,0.051151764,0.054258518,0.05931142,0.054782208,0.05604897,0.04922685,0.031761084,0.021435902,0.021308517
Jamsa,0.018682972,0.033483766,0.060950164,0.030280972,0.023001892,0.022273984,0.037705634,0.034891058,0.039792303,0.04818751,0.05600039,0.055175427,0.074052505,0.07934197,0.084243216,0.084437326,0.084534384,0.05318581,0.0413937,0.038385015
Kannonkoski,0.016999261,0.027346637,0.06134516,0.0428677,0.019216556,0.016999261,0.025129342,0.035476718,0.028085735,0.031781226,0.040650405,0.05173688,0.07908352,0.07317073,0.104951955,0.096821874,0.08425721,0.053954177,0.05543237,0.054693274
Karstula,0.017365418,0.030761598,0.059786655,0.035971224,0.024063507,0.018853882,0.03225006,0.025303895,0.041428927,0.043413546,0.04887125,0.055073183,0.06970975,0.07963285,0.08707517,0.09799057,0.081369385,0.058794342,0.049119323,0.043165468
Keuruu,0.021614423,0.036877688,0.060848188,0.030833846,0.018541282,0.015673017,0.0342143,0.03892645,0.040565457,0.046916615,0.049170252,0.04978488,0.06525302,0.07662364,0.0880967,0.09629174,0.09065765,0.054804344,0.04302397,0.041282523
Kinnula,0.036532506,0.049535602,0.06377709,0.032817338,0.020433437,0.017956655,0.033436533,0.03591331,0.032817338,0.04024768,0.0371517,0.050154798,0.060681116,0.08606811,0.09287926,0.095975235,0.07616099,0.06006192,0.040866874,0.036532506
Kivijarvi,0.019945603,0.029011786,0.056210335,0.029918404,0.015412511,0.013599275,0.036264732,0.029918404,0.031731643,0.042611063,0.026291931,0.048050772,0.066183135,0.08159565,0.09338169,0.10244787,0.096101545,0.08068903,0.05530372,0.045330916
Konnevesi,0.02260934,0.03002224,0.06152706,0.035581913,0.017790956,0.01667902,0.03002224,0.03335804,0.03928836,0.04744255,0.04892513,0.050037064,0.068939954,0.08154188,0.09154929,0.088954784,0.08561898,0.05263158,0.050407708,0.047071904
Kuhmoinen,0.01608579,0.016979447,0.038873993,0.016532619,0.021000894,0.017426273,0.025022341,0.022341376,0.037086684,0.033958893,0.044235926,0.038427167,0.06478999,0.07283289,0.10500447,0.107238606,0.1152815,0.075513855,0.063896336,0.06747095
Kyyjarvi,0.028294863,0.046165302,0.06478034,0.02680566,0.023827253,0.020848846,0.026061058,0.026061058,0.03723008,0.043186896,0.048399106,0.03499628,0.05882353,0.091586,0.10201042,0.0893522,0.09530901,0.052866716,0.0454207,0.03797468
Laukaa,0.03450098,0.066254556,0.09732129,0.044222537,0.025043588,0.02034131,0.029851535,0.038146563,0.056691498,0.073228724,0.06699424,0.06165795,0.060918264,0.06736408,0.062714644,0.064035505,0.05209489,0.0325461,0.024198236,0.021873513
Luhanka,0.008486563,0.031117398,0.03960396,0.021216407,0.015558699,0.012729844,0.026874116,0.021216407,0.021216407,0.02970297,0.03536068,0.05374823,0.07637907,0.097595476,0.08769448,0.11739746,0.10466761,0.07355021,0.06647807,0.05940594
Multia,0.017045455,0.030303031,0.06439394,0.035984848,0.02020202,0.015151516,0.025252525,0.030934343,0.031565655,0.035353534,0.04671717,0.047348484,0.060606062,0.08775253,0.10542929,0.10669192,0.07070707,0.049242426,0.05618687,0.06313131
Muurame,0.030580137,0.06214356,0.098230086,0.044247787,0.028121928,0.021337267,0.031956736,0.040707964,0.060471978,0.0705998,0.07895772,0.0692232,0.06823992,0.06460177,0.05644051,0.06076696,0.04847591,0.03038348,0.018485742,0.016027533
Petajavesi,0.028717948,0.04974359,0.091282055,0.04,0.024102565,0.02025641,0.02948718,0.031282052,0.051282052,0.06435897,0.061794873,0.058205128,0.07102564,0.07153846,0.06897436,0.06948718,0.06538462,0.0425641,0.03051282,0.03
Pihtipudas,0.020725388,0.037256353,0.06982482,0.035775967,0.02097212,0.02146558,0.0328152,0.035775967,0.041450776,0.043424625,0.049839623,0.051566742,0.07229213,0.075006165,0.09351098,0.08240809,0.07229213,0.05428078,0.04786578,0.041450776
Saarijarvi,0.023366967,0.03505045,0.06149761,0.032713756,0.02071163,0.015188529,0.034838025,0.03653744,0.03961763,0.043866172,0.04630908,0.05268189,0.06808285,0.08550186,0.09707913,0.087519914,0.07711099,0.054381307,0.043866172,0.0440786
Toivakka,0.024937656,0.049459685,0.090606816,0.0361596,0.021197008,0.012468828,0.01911887,0.037406486,0.0482128,0.057356607,0.058187865,0.056525353,0.062759764,0.07107232,0.085619286,0.075228594,0.08270989,0.047797173,0.03325021,0.029925186
Uurainen,0.044144858,0.07084325,0.11287338,0.04520222,0.025641026,0.01718213,0.02802009,0.044144858,0.051810734,0.06634946,0.07348665,0.06106265,0.06000529,0.053925455,0.052868094,0.06476341,0.051282052,0.031985197,0.025376685,0.019032514
Viitasaari,0.02187101,0.026979566,0.04853129,0.028416347,0.020274585,0.019795658,0.037515964,0.037835248,0.04246488,0.03911239,0.038952745,0.044699874,0.06657088,0.08540869,0.09578544,0.10376756,0.07998084,0.059227332,0.05395913,0.048850574
aanekoski,0.023606176,0.041377116,0.070977665,0.036549784,0.023287889,0.025091507,0.038512547,0.03952045,0.043817304,0.05092568,0.059996817,0.058458436,0.0669991,0.080207944,0.07723728,0.07744947,0.074744046,0.04524959,0.03686807,0.029123124
MK14 South Ostrobothnia,0.027989352,0.044456158,0.07114883,0.03550589,0.023398256,0.023134703,0.049748305,0.052705374,0.054286692,0.057349183,0.05536726,0.05317977,0.063980184,0.06855019,0.072324276,0.07333105,0.06499223,0.041119576,0.033007406,0.034425322
Alajarvi,0.027113402,0.043814432,0.07907216,0.03783505,0.025670104,0.026597938,0.036804125,0.04082474,0.043505155,0.04701031,0.05072165,0.046907216,0.06463917,0.077628866,0.079896905,0.08268041,0.066494845,0.045670103,0.036597937,0.040515464
Alavus,0.028066529,0.043312542,0.0718122,0.03733541,0.024255024,0.022609148,0.04495842,0.042099793,0.049289674,0.0500693,0.04954955,0.053361055,0.06540194,0.06852044,0.07986833,0.07761608,0.067307696,0.0472973,0.039587665,0.03768191
Evijarvi,0.028305702,0.038010515,0.07682976,0.029114436,0.025879499,0.014961585,0.038010515,0.03881925,0.054589566,0.05135463,0.04892843,0.053376466,0.06833805,0.07480793,0.083704,0.07076425,0.07602103,0.04569349,0.04003235,0.042458553
