Area,0-2 years,3-6 years,7-12 years,13-15 years,16-17 years,18-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,50-54 years,55-59 years,60-64 years,65-69 years,70-74 years,75-79 years,80-84 years,85 years or over
Sipoo,0.029081583,0.04713055,0.0866157,0.04113036,0.02777509,0.026033098,0.04577567,0.041952968,0.04567889,0.06493758,0.07572825,0.076550856,0.08768025,0.07069583,0.057195395,0.052453306,0.050227426,0.03135585,0.02129101,0.020710345
Siuntio,0.025432019,0.047114443,0.08950114,0.04352788,0.026247147,0.022823606,0.032116074,0.03342028,0.044832084,0.06716661,0.07857841,0.07939354,0.09096837,0.06863385,0.064395174,0.06504728,0.061623737,0.027062276,0.018258885,0.01385719
Tuusula,0.025734533,0.047356714,0.08620422,0.044951376,0.029122697,0.023768881,0.038226776,0.04089075,0.05056383,0.06729774,0.08105732,0.075625904,0.08286779,0.07109973,0.06049555,0.057702255,0.053176083,0.030002069,0.018958203,0.014897579
Vihti,0.028037382,0.048509125,0.08722741,0.03971107,0.024887884,0.024785183,0.039437197,0.043511007,0.05443155,0.06928897,0.07736812,0.06884393,0.075519495,0.070281744,0.061620623,0.06398275,0.054945055,0.030296806,0.02009517,0.01721954
MK02 Southwest Finland,0.025999725,0.04014359,0.06305294,0.030640516,0.020215971,0.021714147,0.063142784,0.06540363,0.061772067,0.06303831,0.06221922,0.057557534,0.06689345,0.06467021,0.06442365,0.06676808,0.063993216,0.039190777,0.029372187,0.029787999
Aura,0.03263052,0.052208837,0.082078315,0.04191767,0.027359437,0.022590362,0.035140563,0.047690764,0.056475904,0.07705823,0.07680723,0.06375502,0.06576305,0.0625,0.07003012,0.063253015,0.05170683,0.031626508,0.021084337,0.018323293
Kaarina,0.032787375,0.049255785,0.081445396,0.0375396,0.023731245,0.021848287,0.034072567,0.045489866,0.057445154,0.07023731,0.07495965,0.06688983,0.07352502,0.06336302,0.0618985,0.06201805,0.060075317,0.037210833,0.02567398,0.020533206
Koski Tl,0.021367522,0.03888889,0.05982906,0.027777778,0.023931624,0.01837607,0.032905985,0.033333335,0.042735044,0.052564103,0.05042735,0.055555556,0.06367522,0.08760684,0.06709402,0.07649573,0.081623934,0.06324787,0.052564103,0.05
Kustavi,0.016198704,0.020518359,0.037796978,0.01835853,0.005399568,0.01835853,0.035637148,0.024838014,0.034557234,0.031317495,0.03887689,0.043196544,0.09071274,0.09179266,0.1112311,0.12095033,0.12311015,0.058315333,0.041036718,0.037796978
Kimitoon,0.019185008,0.0325699,0.053985722,0.031826295,0.018143961,0.01799524,0.03584176,0.035395596,0.041046996,0.046847116,0.052647233,0.058447354,0.07599643,0.06647829,0.08372992,0.092504464,0.089678764,0.05532421,0.043426532,0.048929207
Laitila,0.029027408,0.046374466,0.07089164,0.03330635,0.023938939,0.021625997,0.043251995,0.04995952,0.06036776,0.0587487,0.061986815,0.058864348,0.06314328,0.06892564,0.07297329,0.067422226,0.06372152,0.04024517,0.033421997,0.031802937
Lieto,0.031264182,0.05365337,0.0880944,0.04165196,0.026574556,0.022540467,0.033180375,0.04008875,0.05743533,0.074832335,0.073874235,0.06873077,0.078513436,0.06590691,0.05456104,0.05652766,0.055418283,0.032070998,0.02405325,0.021027684
Loimaa,0.02270459,0.036052894,0.06131487,0.031000499,0.022267964,0.021457085,0.039046906,0.04540918,0.047841817,0.055202097,0.05251996,0.051334832,0.06561876,0.07391467,0.08052645,0.08289671,0.078031436,0.04908932,0.037487525,0.046282437
Pargas,0.023000592,0.040875338,0.06998751,0.036603797,0.022080569,0.021949137,0.03489518,0.03542091,0.04166393,0.055135705,0.06413879,0.06729316,0.07031609,0.07084182,0.073601894,0.082670696,0.07767628,0.044489715,0.03344943,0.033909444
Marttila,0.023785926,0.049554013,0.06987116,0.026759168,0.021308227,0.019326065,0.03270565,0.03617443,0.048562933,0.0728444,0.062933594,0.056987114,0.06888008,0.07135778,0.06937562,0.079781964,0.0753221,0.053518336,0.028245788,0.03270565
Masku,0.030039774,0.054008793,0.09189868,0.045007326,0.027423069,0.023131672,0.027527736,0.036424533,0.055369478,0.066673644,0.07912916,0.072011724,0.08069918,0.07086037,0.0589282,0.057776846,0.053904124,0.030667784,0.021038309,0.01747959
